title,year,duration,genre,rating,movie_url
Paths of Glory,1957,1h 28min,Drama,8.4,https://www.imdb.com/title/tt0050825/
Tengoku to jigoku,1963,2h 23min,Crime,8.4,https://www.imdb.com/title/tt0057565/
Witness for the Prosecution,1957,1h 56min,Crime,8.4,https://www.imdb.com/title/tt0051201/
Apocalypse Now,1979,2h 27min,Drama,8.4,https://www.imdb.com/title/tt0078788/
The Shining,1980,2h 26min,Drama,8.4,https://www.imdb.com/title/tt0081505/
Once Upon a Time in America,1984,3h 49min,Crime,8.4,https://www.imdb.com/title/tt0087843/
Taare Zameen Par,2007,2h 45min,Drama,8.4,https://www.imdb.com/title/tt0986264/
Cidade de Deus,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/
Das Leben der Anderen,2006,2h 17min,,8.4,https://www.imdb.com/title/tt0405094/
Saving Private Ryan,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/
Gisaengchung,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/
Interstellar,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/
Oldeuboi,2003,2h,Action,8.4,https://www.imdb.com/title/tt0364569/
Goodfellas,1990,2h 26min,Biography,8.7,https://www.imdb.com/title/tt0099685/
Drishyam 2,2021,,Crime,8.7,https://www.imdb.com/title/tt12361178/
The Lord of the Rings: The Two Towers,2002,2h 59min,Action,8.7,https://www.imdb.com/title/tt0167261/
Forrest Gump,1994,2h 22min,Drama,8.8,https://www.imdb.com/title/tt0109830/
One Flew Over the Cuckoo's Nest,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/
Schindler's List,1993,3h 15min,Biography,8.9,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58min,Action,8.8,https://www.imdb.com/title/tt0120737/
Fight Club,1999,2h 19min,Drama,8.8,https://www.imdb.com/title/tt0137523/
Pulp Fiction,1994,2h 34min,Crime,8.9,https://www.imdb.com/title/tt0110912/
12 Angry Men,1957,1h 36min,Crime,9.0,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,2003,3h 21min,Action,8.9,https://www.imdb.com/title/tt0167260/
The Godfather: Part II,1974,3h 22min,Crime,9.0,https://www.imdb.com/title/tt0071562/
The Dark Knight,2008,2h 32min,Action,9.0,https://www.imdb.com/title/tt0468569/
The Godfather,1972,2h 55min,Crime,9.2,https://www.imdb.com/title/tt0068646/
